date,close
2017-05-09,4192.620
2017-05-10,4147.820
2017-05-11,4170.480
2017-05-12,4202.120
2017-05-15,4228.940
2017-05-16,4278.080
2017-05-17,4265.530
2017-05-18,4245.370
2017-05-19,4261.370
2017-05-22,4248.440
2017-05-23,4259.540
2017-05-24,4266.980
2017-05-25,4325.160
2017-05-26,4331.280
2017-05-31,4338.310
2017-06-01,4330.890
2017-06-02,4338.470
2017-06-05,4316.500
2017-06-06,4338.880
2017-06-07,4397.440
2017-06-08,4437.770
2017-06-09,4450.950
2017-06-12,4462.270
2017-06-13,4477.020
2017-06-14,4413.180
2017-06-15,4391.990
2017-06-16,4362.860
2017-06-19,4393.380
2017-06-20,4387.900
2017-06-21,4439.060
2017-06-22,4438.040
2017-06-23,4475.030
2017-06-26,4525.730
2017-06-27,4534.920
2017-06-28,4510.000
2017-06-29,4525.370
2017-06-30,4527.240
2017-07-03,4518.920
2017-07-04,4483.800
2017-07-05,4514.100
2017-07-06,4515.580
2017-07-07,4517.370
2017-07-10,4506.220
2017-07-11,4526.760
2017-07-12,4505.910
2017-07-13,4517.200
2017-07-14,4544.460
2017-07-17,4489.010
2017-07-18,4489.530
2017-07-19,4549.810
2017-07-20,4588.110
2017-07-21,4585.490
2017-07-24,4615.170
2017-07-25,4592.290
2017-07-26,4568.780
2017-07-27,4564.190
2017-07-28,4581.280
2017-07-31,4599.890
2017-08-01,4627.980
2017-08-02,4606.670
2017-08-03,4569.540
2017-08-04,4548.570
2017-08-07,4577.640
2017-08-08,4572.200
2017-08-09,4584.550
2017-08-10,4572.050
2017-08-11,4492.210
2017-08-14,4528.800
2017-08-15,4556.900
2017-08-16,4541.250
2017-08-17,4563.460
2017-08-18,4574.270
2017-08-21,4592.580
2017-08-22,4593.610
2017-08-23,4591.570
2017-08-24,4588.270
2017-08-25,4646.540
2017-08-28,4679.790
2017-08-29,4676.540
2017-08-30,4681.080
2017-08-31,4653.350
2017-09-01,4663.480
2017-09-04,4669.580
2017-09-05,4672.390
2017-09-06,4664.500
2017-09-07,4654.160
2017-09-08,4649.430
2017-09-11,4657.850
2017-09-12,4677.320
2017-09-13,4686.920
2017-09-14,4675.250
2017-09-15,4666.910
2017-09-18,4676.920
2017-09-19,4663.190
2017-09-20,4685.910
2017-09-21,4683.820
2017-09-22,4690.050
2017-09-25,4668.800
2017-09-26,4666.410
2017-09-27,4673.300
2017-09-28,4663.260
2017-09-29,4672.250
2017-10-09,4719.970
2017-10-10,4726.090
2017-10-11,4739.610
2017-10-12,4740.300
2017-10-13,4741.520
2017-10-16,4708.880
2017-10-17,4708.790
2017-10-18,4740.830
2017-10-19,4740.430
2017-10-20,4742.310
2017-10-23,4746.500
2017-10-24,4775.130
2017-10-25,4787.010
2017-10-26,4791.850
2017-10-27,4806.630
2017-10-30,4786.040
2017-10-31,4767.550
2017-11-01,4744.360
2017-11-02,4744.380
2017-11-03,4724.280
2017-11-06,4757.080
2017-11-07,4786.600
2017-11-08,4788.850
2017-11-09,4814.410
2017-11-10,4841.380
2017-11-13,4867.810
2017-11-14,4836.050
2017-11-15,4814.780
2017-11-16,4827.470
2017-11-17,4835.370
2017-11-20,4857.330
2017-11-21,4921.270
2017-11-22,4928.320
2017-11-23,4798.550
2017-11-24,4798.520
2017-11-27,4756.490
2017-11-28,4760.790
2017-11-29,4755.960
2017-11-30,4725.780
2017-12-01,4718.130
2017-12-04,4724.020
2017-12-05,4735.600
2017-12-06,4708.700
2017-12-07,4660.840
2017-12-08,4675.840
2017-12-11,4725.180
2017-12-12,4677.610
2017-12-13,4713.320
2017-12-14,4702.400
2017-12-15,4664.860
2017-12-18,4664.140
2017-12-19,4703.620
2017-12-20,4690.550
2017-12-21,4716.310
2017-12-22,4716.900
2017-12-25,4710.800
2017-12-26,4730.760
2017-12-27,4696.680
2017-12-28,4718.560
2017-12-29,4750.790
2018-01-02,4836.080
2018-01-03,4859.700
2018-01-04,4877.630
2018-01-05,4912.430
2018-01-08,4952.720
2018-01-09,4949.160
2018-01-10,4963.990
2018-01-11,4950.750
2018-01-12,4974.830
2018-01-15,4956.670
2018-01-16,5027.230
2018-01-17,5020.780
2018-01-18,5061.050
2018-01-19,5058.980
2018-01-22,5108.900
2018-01-23,5169.570
2018-01-24,5177.350
2018-01-25,5156.280
2018-01-26,5190.290
2018-01-29,5139.460
2018-01-30,5077.640
2018-01-31,5071.810
2018-02-01,5020.180
2018-02-02,5061.520
2018-02-05,5098.940
2018-02-06,4952.920
2018-02-07,4852.490
2018-02-08,4807.160
2018-02-09,4620.230
2018-02-12,4672.710
2018-02-13,4724.100
2018-02-14,4736.560
2018-02-22,4839.240
2018-02-23,4853.350
2018-02-26,4899.070
2018-02-27,4822.360
2018-02-28,4789.780
2018-03-01,4796.380
2018-03-02,4783.910
2018-03-05,4777.400
2018-03-06,4841.260
2018-03-07,4822.200
2018-03-08,4867.400
2018-03-09,4884.410
2018-03-12,4894.360
2018-03-13,4864.380
2018-03-14,4845.200
2018-03-15,4851.280
2018-03-16,4813.080
2018-03-19,4791.610
2018-03-20,4790.340
2018-03-21,4781.540
2018-03-22,4743.820
2018-03-23,4607.290
2018-03-26,4568.440
2018-03-27,4586.770
2018-03-28,4521.300
2018-03-29,4599.430
2018-03-30,4601.870
2018-04-02,4578.510
2018-04-03,4533.220
2018-04-04,4529.760
2018-04-09,4520.920
2018-04-10,4597.200
2018-04-11,4622.610
2018-04-12,4580.810
2018-04-13,4559.850
2018-04-16,4483.790
2018-04-17,4432.050
2018-04-18,4450.500
2018-04-19,4492.200
2018-04-20,4429.920
2018-04-23,4431.920
2018-04-24,4521.880
2018-04-25,4508.580
2018-04-26,4440.740
2018-04-27,4440.900
2018-05-02,4461.710
2018-05-03,4494.900
2018-05-04,4482.600
2018-05-07,4549.220
2018-05-08,4586.680
2018-05-09,4581.580
2018-05-10,4608.940
2018-05-11,4588.780
2018-05-14,4608.960
2018-05-15,4628.160
2018-05-16,4601.880
2018-05-17,4585.080
2018-05-18,4628.820
2018-05-21,4650.220
2018-05-22,4637.420
2018-05-23,4591.510
2018-05-24,4561.820
2018-05-25,4551.380
2018-05-28,4564.430
2018-05-29,4551.260
2018-05-30,4466.280
2018-05-31,4559.620
2018-06-01,4527.090
2018-06-04,4559.680
2018-06-05,4579.530
2018-06-06,4578.860
2018-06-07,4549.360
2018-06-08,4486.990
2018-06-11,4480.980
2018-06-12,4535.470
2018-06-13,4501.390
2018-06-14,4481.240
2018-06-15,4460.990
2018-06-19,4291.980
2018-06-20,4315.140
2018-06-21,4276.180
2018-06-22,4291.500
2018-06-25,4252.130
2018-06-26,4202.360
2018-06-27,4151.270
2018-06-28,4096.880
2018-06-29,4187.020
2018-07-02,4076.230
2018-07-03,4082.470
2018-07-04,4042.290
2018-07-05,4003.210
2018-07-06,4014.880
2018-07-09,4108.550
2018-07-10,4121.380
2018-07-11,4052.950
2018-07-12,4128.180
2018-07-13,4133.140
2018-07-16,4107.220
2018-07-17,4079.330
2018-07-18,4087.360
2018-07-19,4081.910
2018-07-20,4154.690
2018-07-23,4195.710
2018-07-24,4250.760
2018-07-25,4244.130
2018-07-26,4216.180
2018-07-27,4201.060
2018-07-30,4204.870
2018-07-31,4207.780
2018-08-01,4129.260
2018-08-02,4046.940
2018-08-03,3995.220
2018-08-06,3943.290
2018-08-07,4043.760
2018-08-08,3988.710
2018-08-09,4059.250
2018-08-10,4049.150
2018-08-13,4025.900
2018-08-14,4023.040
2018-08-15,3942.070
2018-08-16,3919.100
2018-08-17,3875.750
2018-08-20,3912.000
2018-08-21,3961.260
2018-08-22,3935.270
2018-08-23,3945.730
2018-08-24,3956.010
2018-08-27,4039.030
2018-08-28,4034.720
2018-08-29,4010.280
2018-08-30,3990.230
2018-08-31,3970.520
2018-09-03,3960.530
2018-09-04,3999.420
2018-09-05,3934.870
2018-09-06,3897.030
2018-09-07,3910.130
2018-09-10,3874.420
2018-09-11,3865.670
2018-09-12,3858.470
2018-09-13,3893.640
2018-09-14,3902.840
2018-09-17,3866.850
2018-09-18,3925.440
2018-09-19,3980.150
2018-09-20,3977.710
2018-09-21,4082.450
2018-09-25,4049.120
2018-09-26,4076.530
2018-09-27,4065.030
2018-09-28,4108.730
2018-10-08,3963.250
2018-10-09,3954.860
2018-10-10,3960.960
2018-10-11,3770.540
